,track_name,track_id,track_popularity,track_number,track_season
99,멋지게 인사하는 법 (Hello Tutorial) (Feat. 슬기 (SEULGI) of Red Velvet),36UcoqH2P24RtSGbLKLK3w,54,2,winter
100,Fall in Fall,5mwZ597mJSZ4MtO0EtxWBE,43,1,autumn
101,Fall in Fall,31ZAhjSUqcNutSdVcd93a9,41,1,autumn
102,In front of the Post Office in Autumn,1KkMPNfvkmqHefdD4zWcNG,44,1,autumn
103,Drunk on You 취하고 싶다,0lN2KeotmSpAoBMRcSXTX6,0,1,autumn
104,Drunk On Love,6Vu5jrlveGRcQ7FqUujsut,37,1,autumn
105,I will be your shining star,7hSxOrxogaR7YGpg4l8wmd,44,1,autumn
106,To You My Light (feat. Lee Raon),5kPpA4aMFeAQnahSnTIOi4,52,1,autumn
107,"Happiness (feat. Lee Raon, Ban Gwang Ok, Jung Young Eun & Jeon Sang Keun)",3rxJpoEe435WLkaqJK5dnO,37,1,autumn
108,Late Night,3QRUPaizh0X42xNQMr8aPg,42,1,autumn
109,Red Moon: Happiness (feat. Lee Raon),0fABPho2JTj4YZVsMjsUNR,29,1,autumn
110,lie,1C8vJqfSxRgF2lAxnwJz9E,42,3,autumn
111,I Still love you a lot,3cZvGx80KaW9PrJ0OBez7o,44,1,autumn
112,Again,607muQQkKQGweEVD6hAgwM,37,1,autumn
113,Phocha 포장마차,3PFF8Rjo6MFi6lT87uAT33,0,1,autumn
114,Pass by,7CEp2jyohd05jqAiWafcOK,43,1,autumn
115,One Day Only,2JJTLtccyOLEqFGMaJEyZv,39,1,autumn
116,No matter where,7oT5JOWwxnwcZRI6NLzhWs,46,2,autumn
117,IF YOU,4kaY4LbdbomICC25gYGGtn,59,9,autumn
118,Crazy,6gjmCJkyh45kw4vN7gv99o,26,4,autumn
119,Making a new ending for this story,30H0FtOCtb5jESDvFcxqXZ,41,1,autumn
120,Amazing You,37dkyQQNJLaqk09kkNr7In,41,1,autumn
121,I Don't Love You,7neOIVKDsLaUXV5y84jGuY,53,1,autumn
122,Don't run away,18krdoAbqH1jHwymcaIyom,47,1,autumn
123,도망가자 (Run With Me),21P1ueLcjEGcKBDzwNL3xs,0,2,autumn
124,That's okay,2Ghu1DdMwxS3VAyB7i38Wo,63,1,autumn
125,It's Okay,4TPXKIuXg411bVMZPZdYZl,47,2,autumn
126,ABOUT TIME,52FaH5DT8zJzTBvkzhbCtC,24,3,autumn
127,Star,7F8uVSXOgdAJBuGimjqoGu,22,6,autumn
128,Sing For You,7htOPFqaCfI6j5ssnz2cla,51,2,autumn
129,Universe,5ptViFrfoKdGPTdd9oQCwr,53,1,autumn
130,Lonely,5efB9wfc6dn3pzll9ElIrH,56,1,autumn
131,End of a day,0cAFqRrz8OqAoHdbiCM5OD,51,1,autumn
132,I’m sorry,7foTlQj81Z7Ckz9o4tU9yF,38,6,autumn
133,Only Then,7mFigNlS2dsKMhcmJyfpeg,54,1,autumn
134,LAST DANCE,7ijWcf4FsoxoyPK4B9WGp6,57,2,autumn
135,BABY BABY,2zLRE8rUhH2i7maIU5sWVI,40,1,autumn
136,Hemi's Room (Feat. OHHYUK),6oKr5vjv2MPG1r5rJNVpUw,22,1,autumn
137,nosedive,6raQqIU6I73Cl7heEjjkkS,37,1,autumn
138,Your day,5bHIPBAyUdKhTAib5qpqih,0,1,autumn
139,The End,2GBrW5lRWjAQMhK612qzVg,41,2,autumn
140,I feel like,1S2LT0vPyOL0xgkUSGMPsg,35,1,autumn
141,잘있나요,0NoppScLnCvISNy2CJOnqp,28,1,autumn
142,Missing You,2zlgwqw8BLX2JGB76LIFeF,61,2,autumn
143,공허해 empty,2ENZ9lWpoLAGFDJsDb2Cbt,54,1,autumn
144,11:11,67QGnT1Vdfuuy4HkLTUVjj,59,12,autumn
145,Stay With Me,1HYzRuWjmS9LXCkdVHi25K,72,1,autumn
146,Apology,0bBrEmo01hYu6gBz4UW9Q8,49,1,autumn
147,Toy,68ABnHNR4y2COQa4eaM6PS,49,2,autumn
148,STAY,3tP6QKbXvtrxiDI7QwKyUf,70,2,autumn
149,That XX,7g97EfyxPG5XZgYmLig9ML,55,4,autumn
150,Beautiful Pain,3zM2yi75oB3v00sZvWUzIn,52,5,autumn
151,A Daily Song,5Df08ImWepnNDWoOS7pIxq,0,3,autumn
152,Letter,3ySSbGT5BepfePnva86js7,47,1,autumn
153,Foolish Love,7I7TTfKcDDAeSf6HPgbdPT,48,1,autumn
154,I Still Love You,44AbcJTKmV3hipk9gKgUbA,43,1,autumn
155,Guilty,0SPZ7y0fJiozsuWLSAocOl,41,5,autumn
156,Officially Missing You,7CkjU55ROZSwb95dzGan0o,44,1,autumn
157,"Officially missing you,too",1HOcUR5aloWDwLAsPtWwel,40,1,autumn
158,be...,6edYCvijlAPQ1GLPJvDZze,21,7,autumn
159,Johnny,4OHq2ao4pXmGq9OOuP3lxb,43,1,autumn
160,Autumn Outside The Post Office - 2014 Version,5RKnHL0pcT5fPNB38oL4wv,50,4,autumn
161,I Guess I Loved You,1w2hClDL1xH4FPZIipZ1FJ,51,1,autumn
162,Lean On Me,0cd3t9ifOeJVirxWxcUNsJ,36,1,autumn
163,180 Degree,0O5bo4CqoUcXGyRPoeTHSB,54,2,autumn
164,Me After You,5AkyvofVWUqds8x1HHgDU9,58,1,autumn
165,If It Is You,5i6gHFXg4aLK5xvc2jJJC5,62,1,autumn
166,"Every day, Every Moment",3Ml2s37uS9jqRM2R3bfDiB,54,1,autumn
167,Let Go,1OqDvYVDhJyFZny7XlfIyZ,65,11,autumn
168,Eat,09Nhl3YQnChjlq8WmJz7FS,55,1,autumn
169,Love poem,4B6cJ34Mkfiu4Xo8t8QU7F,56,1,autumn
170,Yanghwa BRDG,7saJl9V0kRYGWuyeURHYNU,52,1,autumn
171,DON'T FORGET,0enqhUkjhENOS0x7z9JwgL,48,8,autumn
172,Outro: Her,68VyLnTpNSeuGUOghdt6MS,0,9,autumn
173,Song Request 신청곡 (feat. SUGA of BTS),6Au7CCNN2wXgCNxdavgxDM,55,1,autumn
174,Human,58DqPqnPOrXEIU7Lj0s5PW,45,3,autumn
175,It Takes Time (Feat. Colde),3mNbGPCLCxia3yvwWp2P51,44,1,autumn
176,Event Horizon,6RBziRcDeiho3iTPdtEeg9,56,11,autumn
177,Mattress,6oGcWTN8RAl6VjUappXYHM,38,1,autumn
178,Ring Back Tone,4jX2t5UJX0odaOY2VJahmx,42,1,autumn
179,If you lovingly call my name,0tgxvf4rqBBeEB54h0nnRD,48,1,autumn
180,View,46E1ic6n099e76t5J1TbHn,58,3,summer
181,REALLY REALLY,02UNF1uo5f0UNgc1qx5XGt,0,1,summer
182,LOVE ME LOVE ME,0y4c7qajdQDZ55PZ7RkwyG,43,1,summer
183,ISLAND,6xZbRSkdowxgRj6U8qQF1b,44,2,summer
184,MILLIONS,4ayr28xOK5Jp5Ag1vNMopT,42,1,summer
185,Energetic,3CEs5Jnov3YkmYn0Vezrcr,42,3,summer
186,Ko Ko Bop,5EzitieoPnjyKHAq0gfRMa,64,2,summer
187,Hola Hola,3VC1IEz9M1txlMSx3h3tPM,53,4,summer
188,Red Flavor,7nKQ5WAcjnG48knyLuo8gO,66,1,summer
189,DNA,5SE57ljOIUJ1ybL9U6CuBH,1,2,summer
190,Oh NaNa (Hidden. HUR YOUNG JI),1ZgfAxHQCXLt8o1VXEHHAt,52,1,summer
191,As If It's Your Last,1Zyd6zQnC6XIIzmg3hP7Ot,1,1,summer
192,Forever Young,56bHclo7YNvpujMveLElQn,0,2,summer
193,BBIBBI,4as4XEOR03oGm1STUKl6pa,68,1,summer
194,VERY NICE,1Rrj7KyS2R6SP9CQMDJW1w,72,2,summer
195,Shine,7nkp1uuSbKkoxMvEs8cSw0,64,2,summer
196,365 FRESH,5G8YqJQ6oyPkxBSjpkCVRy,51,2,summer
197,Why Don’t You Know,7BiaLnXa10sBpBEcFfm4PP,0,2,summer
198,4 Walls,2YkjXEab4USTV9uuAgC90E,57,1,summer
199,Good Evening,3mjfQvA5gAV6XnH0ZWnIyI,48,3,summer
200,Take Me Higher,2co7H0J0xQhbcHcXUk9dCn,41,4,summer
201,Dance The Night Away,3t723PlEADna6GjgquoMRW,1,1,summer
202,Sunny Summer,7IE8eERSpTC9Jaw3arl99B,45,1,summer
203,Why,4eiPbjcTEJDQcsv7WV0vfD,53,1,summer
204,Egotistic,5Z4aqpT39KpY8gbHoJWdou,64,2,summer
205,HANN (Alone),7gr57cYekMWriyJYbT7oZ4,62,1,summer
206,Elevator (127F),2Go7eMyOdfKqKOC4x32RYt,46,1,summer
207,Summer Hate (Feat. Rain),0t3Jr6FABrKYLxGgdbco3f,48,1,summer
208,HOME,7lthOBXNue2IvedLRfkod8,1,5,summer
209,EOY,58402Fg3CUAwsRr5CtJkWH,0,1,summer
210,Yacht (K) [feat. Sik-K],4O6aJs7sGvhcnMVOwCHC45,0,1,summer
211,Square (2017),0WZhf0isd4av5qlFfKknC3,0,8,summer
212,Play the Summer,3DbJBVdTQb4fFcVnSgirer,32,1,summer
213,Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,67,1,summer
214,Dímelo,0EAUxlC7jGzCUkRcn9ydLF,47,5,summer
215,Summer 127,7tQTOyhv9BAjKoMoegHncb,51,6,summer
216,0 Mile,7BR3N1IbXTjEJffLd8aics,49,3,summer
217,EVERYDAY,42rziXmwGA04hNSMi2MliA,0,1,summer
218,DUMDi DUMDi,2fJ70dRX7J4jiVxKUQQp7C,59,1,summer
219,PLAY,1SdLedoEjrMRu5AnvK2EYk,0,1,summer
220,Mansae,5rIsrawNyPv1q8v11iwJsh,64,2,summer
221,Oh My!,4JViGq60SvqtQXI3WK0OLS,63,1,summer
222,Dynamite,0v1x6rN6JHRapa03JElljE,0,1,summer
223,Boy With Luv (feat. Halsey),5KawlOMHjWeUjQtnuRs22c,8,2,summer
224,Beach Again,4L1MHK27ifT30Ndicpr7js,43,1,summer
225,Nonstop,5joNJn9LUvYcamWwa2iYCL,61,1,summer
226,Dolphin,3NfgdU9mbIVhcJF3XvC0c9,60,2,summer
227,Humph!,0m3W71Oliiv3gQWXi2YAmJ,49,1,summer
228,Power Up,381g0b6QZxC13SzA2HRMIc,58,1,summer
229,Umpah Umpah,5qSoW3ewNlhRN3FNZPmVns,48,1,summer
230,PARTY,1sHT1fYy8hlr9X48PmenVI,44,1,summer
231,Highway to Heaven - English Version,3WNuXdBxk8tQ2VI020dqvE,53,1,summer
232,Plz Don’t Be Sad,7pNNnrmd3pBIsQTenWExLy,34,1,summer
233,HER,4jQDaI7FRGaDB0llURpnNf,54,2,summer
234,Um Oh Ah Yeh,0icGgAiUx5b0amQLycmGUr,47,2,summer
235,YESTERDAY,0aOf8m2Y7eGsV17WsuH8Xj,45,1,summer
236,Artist,12GJcC8SdDYpkbHvFrgp1w,44,2,summer
237,Any song,1iIhGHzzrzqQfuNkFI2qAn,65,1,summer
238,NUNU NANA,4Bmk7JYOquhWmSMMW4WebM,0,1,summer
239,Fly,60UEnuG7U7URpqGpUrXSsq,0,1,summer
240,Lullaby,1aDarBap4uQgOt9k4fxWd8,0,1,summer
241,Ride on the wind,7gQWTvDx7VJRzeRbnlyIm4,42,3,summer
242,Fever,7qDbAc6xMW07T7yyMnQqS8,53,1,summer
243,Regular - Korean Version,2lAxhE5s3x7OS9sfhsgT1F,51,2,summer
244,Falling in Love,2oka7JFVuzimrhZxanlNox,0,1,summer
245,Blue Lemonade,5XTQXTzEVpYq8wL6DZYgSz,47,6,summer
246,With You,5mtEzYr9nGgp57atg6JwX0,39,2,summer
247,Zoo,7sEwz6PjhQ1bbSSWb6IBid,45,3,summer
248,You’re the Best,4CuuqoDzMXeIBEKrP6fSIm,0,3,summer
249,Me Like Yuh (feat. Hoody) [Korean Version],40wb1DugiG4c4ztCt9oaWp,0,13,summer
250,Don’t Need Your Love,7oEm5Q1virEUB9H0XjWZzF,60,1,summer
251,Drippin',5ZbwJYmRtJe5Uy9nFkki8W,52,4,summer
252,IDOL,2AIWoHr9DF6y4KALCBKWQS,3,15,summer
253,LOVE ME RIGHT,1kFevEv3s7Gf6o5xSDR5DL,57,1,summer
254,Love Me Harder,6fDFxA3j4WpfeCVihCPWSH,0,3,summer
255,THE ANSWER,1L1N5X35wFk8d5VlyNy2Oa,39,3,summer
256,DYNAMITE,7GvA9Elz4M91DYl74FAjtD,24,1,summer
257,Ice Cream (with Selena Gomez),2J4P46vCFm1rPkNkp9pZWX,65,1,summer
258,eight(Prod.&Feat. SUGA of BTS),0pYacDCZuRhcrwGUA5nTBe,72,1,summer
259,SEE SEA,481yYUbtfs67PaKYKxJOeF,0,1,summer
260,Pretty U,1117juaaAkSIUsQxTmmcKM,67,2,summer
261,행복했던 날들이었다 days gone by,5vubdGDI1f6Dgq8l9kYOXV,51,2,summer
262,MOVIE,3b7OgfU9SY8C7YBJgTKS74,44,2,summer
263,9 and Three Quarters (Run Away),2MsNSKQNQNRklkKFxxvIav,0,2,summer
264,Adios,07IlTJZln2vfZtJ7vR4IMf,0,8,summer
265,Blue Hour,3ObPkJQAgjAhTwYvDhPrAW,72,2,summer
266,Rollin',2VJOpzv5sBpstCX9venJr5,0,1,summer
267,DRIVE (Feat. GRAY),4NKQTbmiBtm1MwqBbQQhpM,53,11,summer
268,Touch my body,5crARIrvoMiMf2AdlD78WN,57,2,summer
269,SHAKE IT,59FBFyeST1vqN8G41YgFS6,54,1,summer
270,ASAP,5BXr7hYZQOeRttkeWYTq5S,69,1,summer
271,Butter,3VqeTFIvhxu3DIe4eZVzGq,2,1,summer
272,Dun Dun Dance,54HsCR7lJJdwxmEnTY1JfF,59,1,summer
273,Power,53YZi9zgTnF0Py0K6ejyWz,55,1,summer
274,Wave,28xjm4FnnGI4Xnds7VoNSl,61,4,summer
275,마지막 첫사랑 My First and Last,24PhZrRiALtUXgdwXkEwGt,57,1,summer
276,Chi Mat Ba Ram,7od91jr6uXk0JoxVaIRA18,50,1,summer
277,Forever Young,2Pp9osgyIcw6o1avfDDDhH,65,2,summer
278,We Ride,6kH1sKkvgN4Yikake52glq,50,1,summer
279,Pool Party (Feat. E-CHAN of DKB),2avJo0RwtC1zWiOx4CaGWG,39,2,summer
280,Cherry Blossom Ending,0a3Zd8Bjs8WvnrRfYQQVAL,0,4,spring
281,"Not Spring, Love, or Cherry Blossoms",1IdM9JrXYuMYiTdM983oH4,52,1,spring
282,Spring Is Gone by chance,5A0ut5JjeNLgGaScBIRyBU,49,1,spring
283,봄인가 봐 Spring Love,6YOXdy9jShw66iOnBzQMKv,47,1,spring
284,Some (feat. Lil Boi),0g1AmSKokPboFrxmG1dxKx,61,1,spring
285,Meaning of you,3ucfniv4fLB3RPA6N9iLM2,51,5,spring
286,My Blossom,2uUKMGgpJmud58RY9UPtni,0,1,spring
287,heart,5ktwBE88NKZSfmk6Lw2KhS,51,1,spring
288,You are so beautiful,2nJDePK69THatYkjkjQFE8,55,1,spring
289,Love Blossom,3z9s9hp6ouAxH0IUojkC6L,38,2,spring
290,Give Love,1nlKYpqe2qT1fwiXMr6ju3,0,1,spring
291,Talk,3rd8SMsGluOuCw8vaRG5BL,24,4,spring
292,Some,3mmLyEhphJAaW7hyEXAD8l,0,1,spring
293,커피를 마시고 Coffee - Reprise,3PX5Hkkhh4da6Sntk3LwYo,0,2,spring
294,SoulMate (feat. IU),1pz24zu5H9A0S1a2NKT4F0,57,1,spring
295,"You, Who?",5WLLVrfFNbseupmtv0p2B1,44,1,spring
296,2 years apart,1GlFf1f1fkvAs0Ni3UCk64,26,1,spring
297,Darling,63M8a0AXYVBoZZfZmJbt6O,48,6,spring
298,"Officially missing you,too",1HOcUR5aloWDwLAsPtWwel,40,1,spring
299,Spring (feat. Sandara Park),65wvbMx87q6IHOBWTKAhWr,0,1,spring
300,"YOUR SONG (with Lee Jin Ah, Jung Seung Hwan, Kwon Jin Ah)",1paEGBBeqDYfb9AppAt7BO,0,6,spring
301,Spring again,5ClmwNjQAz1RwLw16V8hsz,33,1,spring
302,Coffee,5IYnriBBJz1iz1ki3bJnWo,0,6,spring
303,Playdate,1OCheuNSzM6kBF1d6yWaeh,37,6,spring
304,Friday (feat.Jang Yi-jeong),0GsRx0gPft6RmijIwMsKmG,57,1,spring
305,Ring My Bell,3MdJSXjBarAYuuJ7rjJLDk,49,1,spring
306,200%,3jM4UiYD4GLhlbDzGRVkkX,0,2,spring
307,Palette (feat. G-DRAGON),3y7ByLZ05tluscOTRgEJ9Y,64,2,spring
308,Say Yes,27zrFrtUtWl2urlvjOn5xc,67,1,spring
309,Galaxy 우주를 줄게,6T3Mlx5fr71sm0u1YDAb4R,0,1,spring
310,No Make Up,3PWyoYwI4iHLnLWltMt4gd,0,1,spring
311,Day 1,5TLAKCWzRqi9AY1NdCe0q0,44,2,spring
312,The Space Between,0lBeCroAGkEdjwKZ3xfcLg,36,1,spring
313,Coffee & Tea,469ENLOUiuk31ET76Y8o0U,37,1,spring
314,OPPA (PROD.Brother Su),3CWjpvvz9jUtyRVSLIAsPU,36,1,spring
315,봄이 좋냐?? What The Spring??,5gkB40BDQE1CvtXpF6fcPm,40,1,spring
316,BBIBBI,4as4XEOR03oGm1STUKl6pa,68,1,spring
317,Hello Tutorial,4vh0x47AvwbCywPOlEmfFQ,0,2,spring
318,Full Album RED PLANET [Hidden Track] - 좋다고 말해,2mg7JShA6HPvWPvQQ70FDI,0,1,spring
319,What I want to say,4door6xOPf2auseb5Foc9f,43,2,spring
320,Bom,0jnUqXkSxqe8hLkPVfzIjz,0,2,spring
321,Phonecert 폰서트,4X3OlLezpBmskDaqlpINQ8,0,3,spring
322,Beautiful,7i6FTYnqGAy7ICUB8bkPoh,0,1,spring
323,D (Half Moon),3uA8SjMyDtwtt0jLPMQbVD,65,5,spring
324,dlwlrma,4NPARrLIbtMl29ZJv8ESr2,57,1,spring
325,Lovely Day - Acoustic Version,52nTtJWHO7aqBfoDp9YPQs,5,6,spring
326,45.7cm,4h2fsF8dnXtqx4SNsF15KW,43,3,spring
327,Sweet Kiss Like Coffee,0FMNyc1bjwLVCnLL7ZZcvg,0,1,spring
328,잊어버리지마 Don't Forget (feat. 태연 Taeyeon),2HC6c1d7SiznMV4rkmmxBB,0,1,spring
329,THUMPING,4TihhtLHSnrokOGBeUzSPN,44,1,spring
330,Just thinking about you,1ew4EemwjPuSsCuj1ezEfB,0,1,spring
331,별빛이 피면 Star Blossom,3h3fLFPHPIaH1qtItyOhfM,55,1,spring
332,Falling For U,01aVuBzov1TL2iCNhwkguC,54,4,spring
333,My Eyes,4dhGHF3e4s0LmGaNeGlhRF,0,1,spring
334,Ordinary Love,2BFAuDIbegplcWK9iS4fUR,0,1,spring
335,Inferiority Complex,4hRA2rCPaCOpoEIq5qXaBz,44,1,spring
336,Spring With You (feat. 20 Years of Age),2OrMdePbuUHaNZIcUBC6cG,0,3,spring
337,Blueming,4Dr2hJ3EnVh2Aaot6fRwDO,67,3,spring
338,It's You (Feat. ZICO),6pm3SR1vvrV54AOJWsN7y7,56,2,spring
339,Leo (feat. BAEKHYUN),4F9qxQqmkFnBjIvrpiQ7jV,0,1,spring
340,TOUCH MY BODY,5F6CQgUvHY8p7hpVWSgPT4,40,3,spring
341,Love Rain (Feat. SURAN),4T5fM8eGg5Pj6PLtIGLeU5,42,1,spring
342,Lean On Me,0cd3t9ifOeJVirxWxcUNsJ,36,1,spring
343,Descendants Of The Sun (Original Television Soundtrack) Pt.6 - Talk Love,5NkpsRKvSBukdYQtl3WLZW,58,1,spring
344,On The Subway,1hu25PizQCZj7adOqFEs7y,0,4,spring
